,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com
0,20-21,0.1,7,56,63,24,24,0.11,2.62,0.29
1,20-21,0.3,13,25,38,23,23,0.34,1.65,0.57
2,20-21,1.0,4,13,17,20,20,0.24,0.85,0.2
3,20-21,3.0,6,5,11,17,17,0.55,0.65,0.35
4,20-21,10.0,5,3,8,11,11,0.62,0.73,0.45
5,21-22,0.1,6,93,99,25,25,0.06,3.96,0.24
6,21-22,0.3,9,35,44,30,30,0.2,1.47,0.3
7,21-22,1.0,7,13,20,21,21,0.35,0.95,0.33
8,21-22,3.0,7,13,20,18,18,0.35,1.11,0.39
9,21-22,10.0,5,10,15,15,15,0.33,1.0,0.33
10,22-23,0.1,4,112,116,19,19,0.03,6.11,0.21
11,22-23,0.3,14,59,73,37,37,0.19,1.97,0.38
12,22-23,1.0,5,13,18,20,20,0.28,0.9,0.25
13,22-23,3.0,9,10,19,20,20,0.47,0.95,0.45
14,22-23,10.0,5,5,10,14,14,0.5,0.71,0.36
15,23-24,0.1,4,152,156,17,17,0.03,9.18,0.24
16,23-24,0.3,7,62,69,26,26,0.1,2.65,0.27
17,23-24,1.0,7,26,33,24,24,0.21,1.38,0.29
18,23-24,3.0,7,9,16,22,22,0.44,0.73,0.32
19,23-24,10.0,2,10,12,12,12,0.17,1.0,0.17
20,24-25,0.1,10,100,110,22,22,0.09,5.0,0.45
21,24-25,0.3,2,65,67,19,19,0.03,3.53,0.11
22,24-25,1.0,7,38,45,20,20,0.16,2.25,0.35
23,24-25,3.0,5,13,18,16,16,0.28,1.12,0.31
24,24-25,10.0,5,4,9,13,13,0.56,0.69,0.38
25,25-26,0.1,1,12,13,27,27,0.08,0.48,0.04
26,25-26,0.3,4,10,14,23,23,0.29,0.61,0.17
27,25-26,1.0,6,132,138,16,16,0.04,8.62,0.38
28,25-26,3.0,7,12,19,21,21,0.37,0.9,0.33
29,25-26,10.0,0,4,4,2,2,0.0,2.0,0.0
30,26-27,0.1,0,0,0,0,0,0.0,0.0,0.0
31,26-27,0.3,0,0,0,0,0,0.0,0.0,0.0
32,26-27,1.0,0,0,0,0,0,0.0,0.0,0.0
33,26-27,3.0,0,0,0,0,0,0.0,0.0,0.0
34,26-27,10.0,0,0,0,0,0,0.0,0.0,0.0
